Universe,Address,Manufacturer,Model,Channels,Mode,Name,Group,Direction
1,1,Varghele,LED BAR,40,40 Channels Mode,Bar1,BARS,
1,41,Varghele,LED BAR,40,40 Channels Mode,Bar2,BARS,
1,81,Varghele,LED BAR,40,40 Channels Mode,Bar3,BARS,
1,121,Varghele,LED BAR,40,40 Channels Mode,Bar4,BARS,
1,161,Varghele,LED BAR,40,40 Channels Mode,Bar5,BARS,
1,201,Varghele,LED BAR,40,40 Channels Mode,Bar6,BARS,
1,241,Varghele,LED BAR,40,40 Channels Mode,Bar7,BARS,
1,281,Varghele,LED BAR,40,40 Channels Mode,Bar8,BARS,
2,1,Varghele,LED BAR,40,40 Channels Mode,Panel1,PANEL,
2,41,Varghele,LED BAR,40,40 Channels Mode,Panel2,PANEL,
2,81,Varghele,LED BAR,40,40 Channels Mode,Panel3,PANEL,
2,121,Varghele,LED BAR,40,40 Channels Mode,Panel4,PANEL,
3,29,Stairville,Wild Wash Pro 648 RGB LED,6,6 Channel,Wash1,WASH,
4,29,Stairville,Wild Wash Pro 648 RGB LED,6,6 Channel,Wash2,WASH,
3,35,Showtec,Sunstrip Active,10,10 Channels Mode,Sun1,SUN,
4,35,Showtec,Sunstrip Active,10,10 Channels Mode,Sun2,SUN,
3,45,Stairville,Retro Flat Par 18x12W RGBW ,8,8 Channel,Par1,PAR,
1,1,Stairville,Retro Flat Par 18x12W RGBW ,8,8 Channel,Par2,PAR,
