showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,128,2,instant,#ffffff
intro,4/4,128,4,instant,#00ffff
vers1,4/4,128,8,instant,#00ffff
vers2,4/4,128,8,instant,#00ffff
hold1,4/4,128,1,instant,#ff8000
chorus1,4/4,128,8,instant,#ff0080
chorus2,4/4,128,8,instant,#ff0080
vers3,4/4,128,8,instant,#00ffff
vers4,4/4,128,8,instant,#00ffff
hold2,4/4,128,1,instant,#ff8000
chorus3,4/4,128,8,instant,#ff0080
chorus4,4/4,128,8,instant,#ff0080
solo,4/4,128,8,instant,#ff8000
hold3,4/4,128,1,instant,#ff8000
chorus5,4/4,128,8,instant,#ff0080
chorus6,4/4,128,8,instant,#ff0080
outro1,4/4,128,3,instant,#ff0000
outro2,4/4,128,2,instant,#ff0000
