showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,134,2,instant,#ffffff
intro,4/4,134,8,instant,#00ffff
vers1,4/4,134,8,instant,#00ffff
vers2,4/4,134,8,instant,#00ffff
chorus1,4/4,134,8,instant,#ff0080
chorus2,4/4,134,8,instant,#ff0080
vers3,4/4,134,8,instant,#00ffff
vers4,4/4,134,8,instant,#00ffff
chorus3,4/4,134,8,instant,#ff0080
chorus4,4/4,134,8,instant,#ff0080
bridge1,4/4,134,10,instant,#00ff00
chorus5,4/4,134,8,instant,#ff0080
chorus6,4/4,134,8,instant,#ff0080
bridge2,4/4,134,8,instant,#00ff00
bridge3,4/4,134,8,instant,#00ff00
outro,4/4,134,8,instant,#ff0000
fadeout,4/4,134,1,instant,#ff0000
