showpart,signature,bpm,num_bars,transition,color
Klick,4/4,114.0,2,instant,#ffffff
Intro,4/4,114.0,8,instant,#aaaaff
Vers1,4/4,114.0,16,instant,#00ffff
Interlude,4/4,114.0,8,instant,#ffaa00
Vers2,4/4,114.0,8,instant,#00ffff
Pause,4/4,114.0,8,instant,#ffff7f
Chorus,4/4,114.0,14,instant,#ff007f
Intro2,4/4,114.0,8,instant,#aaaaff
Vers3,4/4,114.0,16,instant,#00ffff
Pause2,4/4,114.0,2,instant,#ffff7f
Chorus2,4/4,114.0,14,instant,#ff007f
Solo,4/4,114.0,16,instant,#ffaa00
Intro3,4/4,114.0,4,instant,#aaaaff
Vers4,4/4,114.0,16,instant,#00ffff
Pause3,4/4,114.0,2,instant,#ffff7f
Chorus3,4/4,114.0,8,instant,#ff007f
Outro1,4/4,114.0,16,instant,#ff0000
Intro4,4/4,114.0,8,instant,#aaaaff
Vers5,4/4,114.0,8,instant,#00ffff
Outro2,4/4,114.0,8,instant,#ff0000
