showpart,signature,bpm,num_bars,transition,color
Klick,4/4,194.0,2,instant,#ffffff
Intro,4/4,194.0,4,instant,#aaaaff
Vers1,4/4,194.0,16,instant,#00ffff
Vers2,4/4,194.0,16,instant,#00ffff
Chorus1,4/4,194.0,16,instant,#ff007f
Interlude1,4/4,194.0,4,instant,#ffaa00
Vers3,4/4,194.0,16,instant,#00ffff
Chorus2,4/4,194.0,16,instant,#ff007f
Interlude2,4/4,194.0,4,instant,#ffaa00
Solo,4/4,194.0,20,instant,#ff5500
Chorus3,4/4,194.0,16,instant,#ff007f
Chorus4,4/4,194.0,16,instant,#ff007f
Outro,4/4,194.0,2,instant,#ff0000
