showpart,signature,bpm,num_bars,transition,color
intromusone,4/4,90.0,6,instant,#0040ff
intromustwo,4/4,90.0,8,instant,#0040ff
intromusthree,4/4,90.0,10,instant,#0040ff
klickintro,2/4,90.0,3,instant,#ffffff
intro,2/4,90.0,18,instant,#00ffff
bassline,4/4,130.0,8,instant,#0040ff
full,4/4,130.0,8,instant,#0040ff
vers1,4/4,130.0,8,instant,#00ffff
interlude,4/4,130.0,4,instant,#00ff00
prechorus1,4/4,130.0,4,instant,#ffff00
chorus,4/4,130.0,10,instant,#ff0080
vers2,4/4,130.0,8,instant,#00ffff
prechorus2,4/4,130.0,4,instant,#ffff00
chorus2,4/4,130.0,8,instant,#ff0080
bridge,4/4,130.0,8,instant,#00ff00
bridge2,4/4,130.0,12,instant,#00ff00
solo,4/4,130.0,8,instant,#ff8000
prechorus3,4/4,130.0,4,instant,#ffff00
chorus3,4/4,130.0,8,instant,#ff0080
chorus4,4/4,130.0,13,instant,#ff0080
