showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,192.0,2,instant,#ffffff
intro,4/4,139.0,8,instant,#00ffff
vers1,4/4,139.0,13,instant,#00ffff
bridge1,4/4,139.0,15,instant,#00ff00
chorus1,4/4,139.0,16,instant,#ff0080
bridge2,4/4,139.0,8,instant,#00ff00
vers2,4/4,139.0,12,instant,#00ffff
chorus2,4/4,139.0,16,instant,#ff0080
drop,4/4,139.0,8,instant,#ff8000
solo,4/4,139.0,16,instant,#ff8000
cpart,4/4,139.0,29,instant,#0040ff
chorus3,4/4,139.0,16,instant,#ff0080
outro,4/4,139.0,8,instant,#0040ff
