showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,183,2,instant,#ffffff
intro,4/4,183,12,instant,#00ffff
riff1,4/4,183,8,instant,#0040ff
vers1,4/4,183,8,instant,#00ffff
interlude1,4/4,183,8,instant,#ff8000
chorus1,4/4,183,8,instant,#ff0080
chorus2,4/4,183,8,instant,#ff0080
groove1,4/4,183,16,instant,#0040ff
interlude2,4/4,183,8,instant,#ff8000
vers2,4/4,183,8,instant,#00ffff
interlude3,4/4,183,12,instant,#ff8000
chorus3,4/4,183,8,instant,#ff0080
chorus4,4/4,183,8,instant,#ff0080
groove2,4/4,183,16,instant,#0040ff
interlude3,4/4,183,8,instant,#ff8000
chorus5,4/4,183,8,instant,#ff0080
pause,4/4,183,2,instant,#ffffff
chorus6,4/4,183,8,instant,#ff0080
chorus7,4/4,183,8,instant,#ff0080
pause2,2/4,183,5,instant,#ffffff
groove3,4/4,183,16,instant,#0040ff
outro,4/4,183,2,instant,#ff0000
