showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,193,3,instant,#ffffff
intro1,4/4,193,16,instant,#00ffff
intro2,4/4,193,16,instant,#00ffff
bridge1,4/4,193,4,instant,#00ff00
vers1,4/4,193,16,instant,#00ffff
prechorus1,4/4,193,16,instant,#ffff00
chorus1,4/4,193,16,instant,#ff0080
bridge2,4/4,193,4,instant,#00ff00
vers2,4/4,193,16,instant,#00ffff
prechorus2,4/4,193,16,instant,#ffff00
chorus2,4/4,193,16,instant,#ff0080
interlude,4/4,193,8,instant,#ff8000
solo,4/4,193,16,instant,#ff8000
chant1,4/4,193,8,instant,#0040ff
chant2,4/4,193,8,instant,#0040ff
prechorus3,4/4,193,16,instant,#ffff00
chorus3,4/4,193,16,instant,#ff0080
outro,4/4,193,8,instant,#ff0000
outro2,4/4,193,9,instant,#ff0000
