showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,93,2,instant,#ffffff
drumintro,4/4,93,2,instant,#B0C4DE
thema1,4/4,93,8,instant,#32CD32
vers1,18/4,93,3,instant,#00ffff
vers2,4/4,93,4,instant,#00BFFF
chorus1,4/4,93,9,instant,#ff0080
thema2,4/4,93,4,instant,#32CD32
vers3,18/4,93,2,instant,#00ffff
vers4,4/4,93,4,instant,#00BFFF
chorus2,4/4,93,9,instant,#ff0080
thema3,4/4,93,4,instant,#32CD32
vers5,18/4,93,1,instant,#00ffff
vers6,4/4,93,4,instant,#00BFFF
chorus3,4/4,93,8,instant,#ff0080
chorus4,4/4,93,7,instant,#DC143C
outro1,4/4,93,4,instant,#ff0000
outro2,4/4,93,4,instant,#ff0000
